optID,day_margin,daytoexpire,optiontype,Delta,strikeprice,spotprice,monthly dividend yield,RFR,Garch_Vol_RMS,settleprice
10000713,168.0,0.460273973,0.0,0.862,0.0042,0.00494037,0.0215,0.002079,0.008704,0.000761
10000713,169.0,0.463013699,0.0,0.853,0.0042,0.00492151,0.0215,0.002079,0.008704,0.0007584
10000713,170.0,0.465753425,0.0,0.847,0.0042,0.00488348,0.0215,0.002079,0.008704,0.0007374
10000713,171.0,0.468493151,0.0,0.865,0.0042,0.00495596,0.0215,0.002079,0.008704,0.0007882
10000713,172.0,0.471232877,0.0,0.848,0.0042,0.00491932,0.0215,0.002079,0.008704,0.0007612
10000713,175.0,0.479452055,0.0,0.863,0.0042,0.00492134,0.0215,0.002079,0.008704,0.0007482
10000713,176.0,0.482191781,0.0,0.872,0.0042,0.00494874,0.0215,0.002079,0.008704,0.000764
10000713,177.0,0.484931507,0.0,0.86,0.0042,0.00491445,0.0215,0.002079,0.008704,0.000738
10000713,178.0,0.487671233,0.0,0.863,0.0042,0.00491349,0.0215,0.002079,0.008704,0.0007452
10000713,179.0,0.490410959,0.0,0.856,0.0042,0.00488042,0.0215,0.002079,0.008704,0.000735
10000713,182.0,0.498630137,0.0,0.876,0.0042,0.00495476,0.0215,0.002079,0.008704,0.000787
10000713,183.0,0.501369863,0.0,0.878,0.0042,0.00503473,0.0215,0.002079,0.008704,0.000841
10000713,184.0,0.504109589,0.0,0.894,0.0042,0.0050059,0.0215,0.002079,0.008704,0.000805
10000713,185.0,0.506849315,0.0,0.886,0.0042,0.0050497,0.0215,0.002079,0.008704,0.0008508
10000713,186.0,0.509589041,0.0,0.914,0.0042,0.0050838,0.0215,0.002079,0.008704,0.0008648
10000713,189.0,0.517808219,0.0,0.891,0.0042,0.00505512,0.0215,0.002079,0.008704,0.0008474
10000713,190.0,0.520547945,0.0,0.902,0.0042,0.00507869,0.0215,0.002079,0.008704,0.0008694
10000713,191.0,0.523287671,0.0,0.863,0.0042,0.00499593,0.0215,0.002079,0.008704,0.0007734
10000713,192.0,0.526027397,0.0,0.835,0.0042,0.0049221,0.0215,0.002079,0.008704,0.000708
10000713,193.0,0.528767123,0.0,0.85,0.0042,0.00489262,0.0215,0.002079,0.008704,0.0006864
10000713,196.0,0.536986301,0.0,0.85,0.0042,0.00490102,0.0215,0.002079,0.008704,0.0006874
10000713,197.0,0.539726027,0.0,0.828,0.0042,0.00485616,0.0215,0.002079,0.008704,0.0006664
10000713,198.0,0.542465753,0.0,0.829,0.0042,0.00484385,0.0215,0.002079,0.008704,0.0006544
10000713,199.0,0.545205479,0.0,0.806,0.0042,0.00483203,0.0239,0.002055,0.00915,0.0006428
10000713,200.0,0.547945205,0.0,0.827,0.0042,0.00485142,0.0239,0.002055,0.00915,0.000653
10000713,203.0,0.556164384,0.0,0.833,0.0042,0.00486013,0.0239,0.002055,0.00915,0.0006602
10000713,204.0,0.55890411,0.0,0.848,0.0042,0.00489644,0.0239,0.002055,0.00915,0.0006902
10000713,205.0,0.561643836,0.0,0.862,0.0042,0.00491666,0.0239,0.002055,0.00915,0.0007088
10000713,206.0,0.564383562,0.0,0.844,0.0042,0.00491335,0.0239,0.002055,0.00915,0.0007072
10000713,207.0,0.567123288,0.0,0.843,0.0042,0.0049124,0.0239,0.002055,0.00915,0.00071
10000713,210.0,0.575342466,0.0,0.838,0.0042,0.00489006,0.0239,0.002055,0.00915,0.0006992
10000713,211.0,0.578082192,0.0,0.817,0.0042,0.00483762,0.0239,0.002055,0.00915,0.0006508
10000713,212.0,0.580821918,0.0,0.827,0.0042,0.00488575,0.0239,0.002055,0.00915,0.000689
10000713,213.0,0.583561644,0.0,0.833,0.0042,0.00488332,0.0239,0.002055,0.00915,0.0006894
10000713,214.0,0.58630137,0.0,0.822,0.0042,0.00488238,0.0239,0.002055,0.00915,0.0007
10000713,217.0,0.594520548,0.0,0.828,0.0042,0.00488837,0.0239,0.002055,0.00915,0.0006966
10000713,218.0,0.597260274,0.0,0.821,0.0042,0.00489865,0.0239,0.002055,0.00915,0.0007
10000713,219.0,0.6,0.0,0.783,0.0042,0.00482119,0.0239,0.002055,0.00915,0.0006364
10000713,220.0,0.602739726,0.0,0.812,0.0042,0.00484674,0.0239,0.002055,0.00915,0.0006574
10000713,221.0,0.605479452,0.0,0.815,0.0042,0.00484818,0.0239,0.002055,0.00915,0.0006616
10000713,224.0,0.61369863,0.0,0.818,0.0042,0.00484235,0.0239,0.002055,0.00915,0.0006662
10000713,225.0,0.616438356,0.0,0.809,0.0042,0.00486874,0.0239,0.002055,0.00915,0.0006772
10000713,226.0,0.619178082,0.0,0.795,0.0042,0.00482111,0.0239,0.002055,0.00915,0.000646
10000713,227.0,0.621917808,0.0,0.787,0.0042,0.00483985,0.0239,0.002055,0.00915,0.0006654
10000713,228.0,0.624657534,0.0,0.824,0.0042,0.00489069,0.0239,0.002055,0.00915,0.0006938
10000713,231.0,0.632876712,0.0,0.815,0.0042,0.00490877,0.0235,0.002027,0.009964,0.0007098
10000713,232.0,0.635616438,0.0,0.805,0.0042,0.00486414,0.0235,0.002027,0.009964,0.0006768
10000713,233.0,0.638356164,0.0,0.8,0.0042,0.00489816,0.0235,0.002027,0.009964,0.0006874
10000713,234.0,0.64109589,0.0,0.822,0.0042,0.0049631,0.0235,0.002027,0.009964,0.0007488
10000713,235.0,0.643835616,0.0,0.834,0.0042,0.00497952,0.0235,0.002027,0.009964,0.0007688
10000713,238.0,0.652054795,0.0,0.828,0.0042,0.00495973,0.0235,0.002027,0.009964,0.0007584
10000713,239.0,0.654794521,0.0,0.804,0.0042,0.00492802,0.0235,0.002027,0.009964,0.0007154
10000713,240.0,0.657534247,0.0,0.805,0.0042,0.00491018,0.0235,0.002027,0.009964,0.0007032
10000713,241.0,0.660273973,0.0,0.813,0.0042,0.00492272,0.0235,0.002027,0.009964,0.0007094
10000713,242.0,0.663013699,0.0,0.781,0.0042,0.00487478,0.0235,0.002027,0.009964,0.000683
10000713,245.0,0.671232877,0.0,0.811,0.0042,0.00493211,0.0235,0.002027,0.009964,0.0007558
10000713,246.0,0.673972603,0.0,0.798,0.0042,0.00491361,0.0235,0.002027,0.009964,0.0007272
10000713,247.0,0.676712329,0.0,0.799,0.0042,0.00494011,0.0235,0.002027,0.009964,0.0007548
10000713,248.0,0.679452055,0.0,0.767,0.0042,0.00488384,0.0235,0.002027,0.009964,0.0007024
10000713,249.0,0.682191781,0.0,0.81,0.0042,0.00493619,0.0235,0.002027,0.009964,0.000738
10000713,252.0,0.690410959,0.0,0.798,0.0042,0.00492994,0.0235,0.002027,0.009964,0.0007386
