optID,day_margin,daytoexpire,optiontype,Delta,strikeprice,spotprice,monthly dividend yield,RFR,Garch_Vol_RMS,closeprice,settleprice
11000001,108,0.295890411,0,0.727,0.0044,0.00480561,0.0239,0.001969,0.014602,0.0003962,0.0003962
11000001,109,0.298630137,0,0.721,0.0044,0.00481327,0.0239,0.001969,0.014602,0.0004018,0.000402
11000001,112,0.306849315,0,0.751,0.0044,0.00482704,0.0239,0.001969,0.014602,0.000417,0.0004132
11000001,113,0.309589041,0,0.744,0.0044,0.00480161,0.0239,0.001969,0.014602,0.000398,0.0003966
11000001,114,0.312328767,0,0.776,0.0044,0.00489816,0.0239,0.001969,0.014602,0.0004598,0.0004598
11000001,115,0.315068493,0,0.788,0.0044,0.00488839,0.0239,0.001969,0.014602,0.0004636,0.0004598
11000001,116,0.317808219,0,0.749,0.0044,0.00483588,0.0239,0.001969,0.014602,0.0004118,0.0004166
11000001,119,0.326027397,0,0.7,0.0044,0.00476927,0.0239,0.001969,0.014602,0.0003708,0.0003688
11000001,120,0.328767123,0,0.77,0.0044,0.00486214,0.0239,0.001969,0.014602,0.000424,0.000428
11000001,121,0.331506849,0,0.792,0.0044,0.00489424,0.0239,0.001969,0.014602,0.0004672,0.0004568
11000001,122,0.334246575,0,0.764,0.0044,0.0048374,0.0239,0.001969,0.014602,0.000422,0.000422
11000001,123,0.336986301,0,0.809,0.0044,0.00494107,0.0239,0.001969,0.014602,0.000497,0.0004938
11000001,126,0.345205479,0,0.807,0.0044,0.00494598,0.0239,0.001969,0.014602,0.0004778,0.0004918
11000001,127,0.347945205,0,0.821,0.0044,0.00497335,0.0239,0.001969,0.014602,0.0005056,0.0005134
11000001,128,0.350684932,0,0.822,0.0044,0.00501534,0.0239,0.001969,0.014602,0.0005428,0.000543
11000001,129,0.353424658,0,0.821,0.0044,0.00504315,0.0239,0.001969,0.014602,0.0005418,0.0005666
11000001,130,0.356164384,0,0.826,0.0044,0.00498556,0.0239,0.001969,0.014602,0.0005162,0.0005106
11000001,133,0.364383562,0,0.778,0.0044,0.00492156,0.0239,0.001969,0.014602,0.0004546,0.000471
11000001,134,0.367123288,0,0.802,0.0044,0.00494867,0.0239,0.001969,0.014602,0.0004852,0.0004796
11000001,135,0.369863014,0,0.809,0.0044,0.00497885,0.0239,0.001969,0.014602,0.0005032,0.0005066
11000001,136,0.37260274,0,0.797,0.0044,0.00493446,0.0239,0.001969,0.014602,0.000486,0.0004928
11000001,137,0.375342466,0,0.8,0.0044,0.00493374,0.0239,0.001969,0.014602,0.000485,0.000485
11000001,140,0.383561644,0,0.73,0.0044,0.00481117,0.0235,0.002015,0.013196,0.000394,0.0003934
11000001,141,0.38630137,0,0.742,0.0044,0.00485027,0.0235,0.002015,0.013196,0.000414,0.0004204
11000001,142,0.389041096,0,0.699,0.0044,0.00476048,0.0235,0.002015,0.013196,0.000377,0.0003842
11000001,143,0.391780822,0,0.732,0.0044,0.00475131,0.0235,0.002015,0.013196,0.00038,0.0003788
11000001,144,0.394520548,0,0.767,0.0044,0.0049253,0.0235,0.002015,0.013196,0.000498,0.0005004
11000001,147,0.402739726,0,0.841,0.0044,0.00508923,0.0235,0.002015,0.013196,0.0006496,0.000658
11000001,148,0.405479452,0,0.868,0.0044,0.00515175,0.0235,0.002015,0.013196,0.0007006,0.000697
11000001,149,0.408219178,0,0.878,0.0044,0.00514404,0.0235,0.002015,0.013196,0.000701,0.0006978
11000001,150,0.410958904,0,0.863,0.0044,0.00510899,0.0235,0.002015,0.013196,0.0006888,0.0006746
11000001,151,0.41369863,0,0.863,0.0044,0.00511349,0.0235,0.002015,0.013196,0.0006818,0.0006786
11000001,154,0.421917808,0,0.849,0.0044,0.00509477,0.0235,0.002015,0.013196,0.0006672,0.0006666
11000001,155,0.424657534,0,0.863,0.0044,0.00515146,0.0235,0.002015,0.013196,0.000709,0.0007106
11000001,156,0.42739726,0,0.842,0.0044,0.00508308,0.0235,0.002015,0.013196,0.0006474,0.0006474
11000001,157,0.430136986,0,0.863,0.0044,0.0051421,0.0235,0.002015,0.013196,0.0006964,0.0006944
11000001,158,0.432876712,0,0.858,0.0044,0.00513271,0.0235,0.002015,0.013196,0.0006902,0.0006868
11000001,161,0.44109589,0,0.849,0.0044,0.00506944,0.0235,0.002015,0.013196,0.000654,0.0006454
11000001,162,0.443835616,0,0.834,0.0044,0.00508826,0.0235,0.002015,0.013196,0.0006796,0.0006796
11000001,163,0.446575342,0,0.867,0.0044,0.00514049,0.0235,0.002015,0.013196,0.0007184,0.0007116
11000001,164,0.449315068,0,0.807,0.0044,0.0050831,0.0235,0.002015,0.013196,0.000665,0.000665
11000001,165,0.452054795,0,0.819,0.0044,0.00508579,0.0235,0.002015,0.013196,0.000661,0.0006648
11000001,168,0.460273973,0,0.828,0.0044,0.00508112,0.0235,0.002015,0.013196,0.000661,0.0006578
11000001,169,0.463013699,0,0.862,0.0044,0.00522966,0.0235,0.002015,0.013196,0.00076,0.000735
11000001,170,0.465753425,0,0.853,0.0044,0.00522404,0.0216,0.00204,0.010336,0.0007598,0.0007856
11000001,171,0.468493151,0,0.858,0.0044,0.00519054,0.0216,0.00204,0.010336,0.0007598,0.0007598
11000001,172,0.471232877,0,0.856,0.0044,0.00525176,0.0216,0.00204,0.010336,0.0008054,0.000809
11000001,175,0.479452055,0,0.877,0.0044,0.00523997,0.0216,0.00204,0.010336,0.0008006,0.0008036
11000001,176,0.482191781,0,0.838,0.0044,0.00515597,0.0216,0.00204,0.010336,0.000695,0.0007154
11000001,177,0.484931507,0,0.848,0.0044,0.00514739,0.0216,0.00204,0.010336,0.000695,0.0006968
11000001,178,0.487671233,0,0.819,0.0044,0.00512216,0.0216,0.00204,0.010336,0.0006446,0.0006722
11000001,179,0.490410959,0,0.817,0.0044,0.00509039,0.0216,0.00204,0.010336,0.0006446,0.000658
11000001,182,0.498630137,0,0.83,0.0044,0.00510247,0.0216,0.00204,0.010336,0.0006728,0.0006624
11000001,183,0.501369863,0,0.81,0.0044,0.00510189,0.0216,0.00204,0.010336,0.0006468,0.0006546
11000001,184,0.504109589,0,0.8,0.0044,0.00508049,0.0216,0.00204,0.010336,0.0006478,0.000644
