optID,moneyness,daytoexpire,optiontype,RFR,Garch_Vol_RMS,monthly dividend yield,settleprice
10000003,0.954137838,0.739726027,0,0.001796,0.021634,0.0294,0.2842
10000004,0.953976316,0.736986301,0,0.001796,0.021634,0.0294,0.2758
10000004,0.929028947,0.739726027,0,0.001796,0.021634,0.0294,0.2534
10000004,0.944497368,0.750684932,0,0.001796,0.021634,0.0294,0.2698
10000004,0.956910526,0.753424658,0,0.001796,0.021634,0.0294,0.2752
10000005,0.952107692,0.709589041,0,0.001279,0.014017,0.0287,0.22
10000005,0.957571795,0.712328767,0,0.001279,0.014017,0.0287,0.2292
10000005,0.942328205,0.715068493,0,0.001279,0.014017,0.0287,0.2042
10000005,0.945169231,0.717808219,0,0.001796,0.021634,0.0294,0.217
10000005,0.942079487,0.720547945,0,0.001796,0.021634,0.0294,0.2266
10000005,0.951297436,0.728767123,0,0.001796,0.021634,0.0294,0.2396
10000005,0.948217949,0.731506849,0,0.001796,0.021634,0.0294,0.229
10000005,0.954492308,0.734246575,0,0.001796,0.021634,0.0294,0.2588
10000005,0.929515385,0.736986301,0,0.001796,0.021634,0.0294,0.2428
10000005,0.905207692,0.739726027,0,0.001796,0.021634,0.0294,0.2236
10000005,0.936723077,0.747945205,0,0.001796,0.021634,0.0294,0.2544
10000005,0.920279487,0.750684932,0,0.001796,0.021634,0.0294,0.2406
10000005,0.932374359,0.753424658,0,0.001796,0.021634,0.0294,0.2454
10000005,0.9512,0.756164384,0,0.001796,0.021634,0.0294,0.2952
10000005,0.95585641,0.75890411,0,0.001796,0.021634,0.0294,0.2832
10000005,0.945733333,0.873972603,0,0.002178,0.022042,0.0265,0.2096
10000006,0.95733,0.567123288,0,0.001172,0.009879,0.0291,0.0988
10000006,0.956015,0.575342466,0,0.001172,0.009879,0.0291,0.1054
10000006,0.9556925,0.643835616,0,0.001279,0.014017,0.0287,0.1218
10000006,0.9492425,0.652054795,0,0.001279,0.014017,0.0287,0.124
10000006,0.9574375,0.654794521,0,0.001279,0.014017,0.0287,0.1324
10000006,0.959845,0.657534247,0,0.001279,0.014017,0.0287,0.1356
10000006,0.9520125,0.660273973,0,0.001279,0.014017,0.0287,0.125
10000006,0.9598725,0.671232877,0,0.001279,0.014017,0.0287,0.155
