optID,moneyness,daytoexpire,RFR,optiontype,Garch_Vol_RMS,monthly dividend yield,settleprice
10000001,1.376062857,0.298630137,0.002171,0,0.014447,0.024,1.249
10000001,1.384077143,0.306849315,0.002171,0,0.014447,0.024,1.2626
10000001,1.351814286,0.309589041,0.002171,0,0.014447,0.024,1.1588
10000001,1.344608571,0.312328767,0.002171,0,0.014447,0.024,1.125
10000001,1.360557143,0.315068493,0.002171,0,0.014447,0.024,1.1748
10000001,1.358814286,0.317808219,0.002171,0,0.014447,0.024,1.164
10000001,1.34824,0.326027397,0.002171,0,0.014447,0.024,1.1548
10000001,1.3369,0.328767123,0.002171,0,0.014447,0.024,1.1178
10000001,1.35448,0.331506849,0.002171,0,0.014447,0.024,1.1616
10000001,1.375074286,0.334246575,0.002171,0,0.014447,0.024,1.2524
10000001,1.37578,0.336986301,0.002171,0,0.014447,0.024,1.2658
10000001,1.34418,0.345205479,0.002171,0,0.014447,0.024,1.1476
10000001,1.324488571,0.347945205,0.002171,0,0.014447,0.024,1.045
10000001,1.327897143,0.350684932,0.002171,0,0.014447,0.024,1.07
10000001,1.337651429,0.353424658,0.002171,0,0.014447,0.024,1.0914
10000001,1.349962857,0.356164384,0.002171,0,0.014447,0.024,1.1414
10000001,1.345122857,0.364383562,0.002171,0,0.014447,0.024,1.135
10000001,1.360788571,0.367123288,0.002171,0,0.014447,0.024,1.1838
10000001,1.364888571,0.369863014,0.002171,0,0.014447,0.024,1.1936
10000001,1.364514286,0.37260274,0.002171,0,0.014447,0.024,1.2098
10000001,1.363231429,0.375342466,0.002171,0,0.014447,0.024,1.2014
10000001,1.341442857,0.383561644,0.001932,0,0.021187,0.0245,1.1266
10000001,1.330328571,0.38630137,0.001932,0,0.021187,0.0245,1.1012
10000001,1.33686,0.389041096,0.001932,0,0.021187,0.0245,1.1306
10000001,1.305217143,0.391780822,0.001932,0,0.021187,0.0245,0.9854
10000001,1.293842857,0.394520548,0.001932,0,0.021187,0.0245,0.9598
10000001,1.287311429,0.402739726,0.001932,0,0.021187,0.0245,0.9234
10000001,1.346411429,0.405479452,0.001932,0,0.021187,0.0245,1.1536
10000001,1.346985714,0.408219178,0.001932,0,0.021187,0.0245,1.1536
10000001,1.340297143,0.410958904,0.001932,0,0.021187,0.0245,1.1298
10000001,1.337228571,0.41369863,0.001932,0,0.021187,0.0245,1.123
10000001,1.298485714,0.421917808,0.001932,0,0.021187,0.0245,1.0132
10000001,1.290357143,0.424657534,0.001932,0,0.021187,0.0245,0.9882
10000001,1.355562857,0.42739726,0.001932,0,0.021187,0.0245,1.2204
10000001,1.37334,0.430136986,0.001932,0,0.021187,0.0245,1.267
10000001,1.38656,0.432876712,0.001932,0,0.021187,0.0245,1.317
10000001,1.358037143,0.44109589,0.001932,0,0.021187,0.0245,1.2478
10000001,1.383077143,0.443835616,0.001932,0,0.021187,0.0245,1.3292
10000001,1.364,0.446575342,0.001932,0,0.021187,0.0245,1.265
10000001,1.342322857,0.449315068,0.001932,0,0.021187,0.0245,1.2256
10000001,1.334311429,0.452054795,0.001932,0,0.021187,0.0245,1.2896
10000001,1.262742857,0.460273973,0.001932,0,0.021187,0.0245,0.8916
10000001,1.238811429,0.463013699,0.001932,0,0.021187,0.0245,0.7918
10000001,1.213651429,0.465753425,0.001932,0,0.021187,0.0245,0.6642
10000001,1.189702857,0.468493151,0.001589,0,0.010818,0.0272,0.5822
10000001,1.174205714,0.471232877,0.001589,0,0.010818,0.0272,0.5496
10000001,1.182568571,0.484931507,0.001589,0,0.010818,0.0272,0.584
10000001,1.177654286,0.487671233,0.001589,0,0.010818,0.0272,0.5608
10000001,1.172014286,0.490410959,0.001589,0,0.010818,0.0272,0.5564
10000001,1.17106,0.498630137,0.001589,0,0.010818,0.0272,0.538
10000001,1.155537143,0.501369863,0.001589,0,0.010818,0.0272,0.4492
10000001,1.147882857,0.504109589,0.001589,0,0.010818,0.0272,0.4094
10000001,1.14702,0.506849315,0.001589,0,0.010818,0.0272,0.4038
10000001,1.129997143,0.509589041,0.001589,0,0.010818,0.0272,0.3578
10000001,1.143737143,0.517808219,0.001589,0,0.010818,0.0272,0.4012
10000001,1.14168,0.520547945,0.001589,0,0.010818,0.0272,0.3956
10000001,1.154202857,0.523287671,0.001589,0,0.010818,0.0272,0.4312
10000001,1.156294286,0.526027397,0.001589,0,0.010818,0.0272,0.4418
