optID,spotprice,strikeprice,daytoexpire,RFR,optiontype,Garch_Vol_RMS,Delta,monthly dividend yield,settleprice
10000001,4.81622,3.5,0.298630137,0.002171,0,0.014447,0.959,0.024,1.249
10000001,4.84427,3.5,0.306849315,0.002171,0,0.014447,0.959,0.024,1.2626
10000001,4.73135,3.5,0.309589041,0.002171,0,0.014447,0.913,0.024,1.1588
10000001,4.70613,3.5,0.312328767,0.002171,0,0.014447,0.925,0.024,1.125
10000001,4.76195,3.5,0.315068493,0.002171,0,0.014447,0.928,0.024,1.1748
10000001,4.75585,3.5,0.317808219,0.002171,0,0.014447,0.937,0.024,1.164
10000001,4.71884,3.5,0.326027397,0.002171,0,0.014447,0.9,0.024,1.1548
10000001,4.67915,3.5,0.328767123,0.002171,0,0.014447,0.91,0.024,1.1178
10000001,4.74068,3.5,0.331506849,0.002171,0,0.014447,0.96,0.024,1.1616
10000001,4.81276,3.5,0.334246575,0.002171,0,0.014447,0.917,0.024,1.2524
10000001,4.81523,3.5,0.336986301,0.002171,0,0.014447,0.912,0.024,1.2658
10000001,4.70463,3.5,0.345205479,0.002171,0,0.014447,0.885,0.024,1.1476
10000001,4.63571,3.5,0.347945205,0.002171,0,0.014447,0.915,0.024,1.045
10000001,4.64764,3.5,0.350684932,0.002171,0,0.014447,0.887,0.024,1.07
10000001,4.68178,3.5,0.353424658,0.002171,0,0.014447,0.956,0.024,1.0914
10000001,4.72487,3.5,0.356164384,0.002171,0,0.014447,0.934,0.024,1.1414
10000001,4.70793,3.5,0.364383562,0.002171,0,0.014447,0.915,0.024,1.135
10000001,4.76276,3.5,0.367123288,0.002171,0,0.014447,0.899,0.024,1.1838
10000001,4.77711,3.5,0.369863014,0.002171,0,0.014447,0.908,0.024,1.1936
10000001,4.7758,3.5,0.37260274,0.002171,0,0.014447,0.915,0.024,1.2098
10000001,4.77131,3.5,0.375342466,0.002171,0,0.014447,0.9,0.024,1.2014
