optID,day_margin,daytoexpire,optiontype,strikeprice,spotprice,monthly dividend yield,RFR,Garch_Vol_RMS,settleprice
10000001,109,0.298630137,0,3.5,4.81622,0.024,0.002171,0.014447,1.249
10000001,112,0.306849315,0,3.5,4.84427,0.024,0.002171,0.014447,1.2626
10000001,113,0.309589041,0,3.5,4.73135,0.024,0.002171,0.014447,1.1588
10000001,114,0.312328767,0,3.5,4.70613,0.024,0.002171,0.014447,1.125
10000001,115,0.315068493,0,3.5,4.76195,0.024,0.002171,0.014447,1.1748
10000001,116,0.317808219,0,3.5,4.75585,0.024,0.002171,0.014447,1.164
10000001,119,0.326027397,0,3.5,4.71884,0.024,0.002171,0.014447,1.1548
10000001,120,0.328767123,0,3.5,4.67915,0.024,0.002171,0.014447,1.1178
10000001,121,0.331506849,0,3.5,4.74068,0.024,0.002171,0.014447,1.1616
10000001,122,0.334246575,0,3.5,4.81276,0.024,0.002171,0.014447,1.2524
10000001,123,0.336986301,0,3.5,4.81523,0.024,0.002171,0.014447,1.2658
10000001,126,0.345205479,0,3.5,4.70463,0.024,0.002171,0.014447,1.1476
10000001,127,0.347945205,0,3.5,4.63571,0.024,0.002171,0.014447,1.045
10000001,128,0.350684932,0,3.5,4.64764,0.024,0.002171,0.014447,1.07
10000001,129,0.353424658,0,3.5,4.68178,0.024,0.002171,0.014447,1.0914
10000001,130,0.356164384,0,3.5,4.72487,0.024,0.002171,0.014447,1.1414
10000001,133,0.364383562,0,3.5,4.70793,0.024,0.002171,0.014447,1.135
10000001,134,0.367123288,0,3.5,4.76276,0.024,0.002171,0.014447,1.1838
10000001,135,0.369863014,0,3.5,4.77711,0.024,0.002171,0.014447,1.1936
10000001,136,0.37260274,0,3.5,4.7758,0.024,0.002171,0.014447,1.2098
10000001,137,0.375342466,0,3.5,4.77131,0.024,0.002171,0.014447,1.2014
10000001,140,0.383561644,0,3.5,4.69505,0.0245,0.001932,0.021187,1.1266
10000001,141,0.38630137,0,3.5,4.65615,0.0245,0.001932,0.021187,1.1012
10000001,142,0.389041096,0,3.5,4.67901,0.0245,0.001932,0.021187,1.1306
10000001,143,0.391780822,0,3.5,4.56826,0.0245,0.001932,0.021187,0.9854
10000001,144,0.394520548,0,3.5,4.52845,0.0245,0.001932,0.021187,0.9598
10000001,147,0.402739726,0,3.5,4.50559,0.0245,0.001932,0.021187,0.9234
10000001,148,0.405479452,0,3.5,4.71244,0.0245,0.001932,0.021187,1.1536
10000001,149,0.408219178,0,3.5,4.71445,0.0245,0.001932,0.021187,1.1536
10000001,150,0.410958904,0,3.5,4.69104,0.0245,0.001932,0.021187,1.1298
10000001,151,0.41369863,0,3.5,4.6803,0.0245,0.001932,0.021187,1.123
10000001,154,0.421917808,0,3.5,4.5447,0.0245,0.001932,0.021187,1.0132
10000001,155,0.424657534,0,3.5,4.51625,0.0245,0.001932,0.021187,0.9882
10000001,156,0.42739726,0,3.5,4.74447,0.0245,0.001932,0.021187,1.2204
10000001,157,0.430136986,0,3.5,4.80669,0.0245,0.001932,0.021187,1.267
10000001,158,0.432876712,0,3.5,4.85296,0.0245,0.001932,0.021187,1.317
10000001,161,0.44109589,0,3.5,4.75313,0.0245,0.001932,0.021187,1.2478
10000001,162,0.443835616,0,3.5,4.84077,0.0245,0.001932,0.021187,1.3292
10000001,163,0.446575342,0,3.5,4.774,0.0245,0.001932,0.021187,1.265
